Index,Prime Number,Prime Gap
1,2,
2,3,1.0
3,5,2.0
4,7,2.0
5,11,4.0
6,13,2.0
7,17,4.0
8,19,2.0
9,23,4.0
10,29,6.0
11,31,2.0
12,37,6.0
13,41,4.0
14,43,2.0
15,47,4.0
16,53,6.0
17,59,6.0
18,61,2.0
19,67,6.0
20,71,4.0
21,73,2.0
22,79,6.0
23,83,4.0
24,89,6.0
25,97,8.0
26,101,4.0
27,103,2.0
28,107,4.0
29,109,2.0
30,113,4.0
31,127,14.0
32,131,4.0
33,137,6.0
34,139,2.0
35,149,10.0
36,151,2.0
37,157,6.0
38,163,6.0
39,167,4.0
40,173,6.0
41,179,6.0
42,181,2.0
43,191,10.0
44,193,2.0
45,197,4.0
46,199,2.0
47,211,12.0
48,223,12.0
49,227,4.0
50,229,2.0
51,233,4.0
52,239,6.0
53,241,2.0
54,251,10.0
55,257,6.0
56,263,6.0
57,269,6.0
58,271,2.0
59,277,6.0
60,281,4.0
61,283,2.0
62,293,10.0
63,307,14.0
64,311,4.0
65,313,2.0
66,317,4.0
67,331,14.0
68,337,6.0
69,347,10.0
70,349,2.0
71,353,4.0
72,359,6.0
73,367,8.0
74,373,6.0
75,379,6.0
76,383,4.0
77,389,6.0
78,397,8.0
79,401,4.0
80,409,8.0
81,419,10.0
82,421,2.0
83,431,10.0
84,433,2.0
85,439,6.0
86,443,4.0
87,449,6.0
88,457,8.0
89,461,4.0
90,463,2.0
91,467,4.0
92,479,12.0
93,487,8.0
94,491,4.0
95,499,8.0
96,503,4.0
97,509,6.0
98,521,12.0
99,523,2.0
100,541,18.0
101,547,6.0
102,557,10.0
103,563,6.0
104,569,6.0
105,571,2.0
106,577,6.0
107,587,10.0
108,593,6.0
109,599,6.0
110,601,2.0
111,607,6.0
112,613,6.0
113,617,4.0
114,619,2.0
115,631,12.0
116,641,10.0
117,643,2.0
118,647,4.0
119,653,6.0
120,659,6.0
121,661,2.0
122,673,12.0
123,677,4.0
124,683,6.0
125,691,8.0
126,701,10.0
127,709,8.0
128,719,10.0
129,727,8.0
130,733,6.0
131,739,6.0
132,743,4.0
133,751,8.0
134,757,6.0
135,761,4.0
136,769,8.0
137,773,4.0
138,787,14.0
139,797,10.0
140,809,12.0
141,811,2.0
142,821,10.0
143,823,2.0
144,827,4.0
145,829,2.0
146,839,10.0
147,853,14.0
148,857,4.0
149,859,2.0
150,863,4.0
151,877,14.0
152,881,4.0
153,883,2.0
154,887,4.0
155,907,20.0
156,911,4.0
157,919,8.0
158,929,10.0
159,937,8.0
160,941,4.0
161,947,6.0
162,953,6.0
163,967,14.0
164,971,4.0
165,977,6.0
166,983,6.0
167,991,8.0
168,997,6.0
169,1009,12.0
170,1013,4.0
171,1019,6.0
172,1021,2.0
173,1031,10.0
174,1033,2.0
175,1039,6.0
176,1049,10.0
177,1051,2.0
178,1061,10.0
179,1063,2.0
180,1069,6.0
181,1087,18.0
182,1091,4.0
183,1093,2.0
184,1097,4.0
185,1103,6.0
186,1109,6.0
187,1117,8.0
188,1123,6.0
189,1129,6.0
190,1151,22.0
191,1153,2.0
192,1163,10.0
193,1171,8.0
194,1181,10.0
195,1187,6.0
196,1193,6.0
197,1201,8.0
198,1213,12.0
199,1217,4.0
200,1223,6.0
201,1229,6.0
202,1231,2.0
203,1237,6.0
204,1249,12.0
205,1259,10.0
206,1277,18.0
207,1279,2.0
208,1283,4.0
209,1289,6.0
210,1291,2.0
211,1297,6.0
212,1301,4.0
213,1303,2.0
214,1307,4.0
215,1319,12.0
216,1321,2.0
217,1327,6.0
218,1361,34.0
219,1367,6.0
220,1373,6.0
221,1381,8.0
222,1399,18.0
223,1409,10.0
224,1423,14.0
225,1427,4.0
226,1429,2.0
227,1433,4.0
228,1439,6.0
229,1447,8.0
230,1451,4.0
231,1453,2.0
232,1459,6.0
233,1471,12.0
234,1481,10.0
235,1483,2.0
236,1487,4.0
237,1489,2.0
238,1493,4.0
239,1499,6.0
240,1511,12.0
241,1523,12.0
242,1531,8.0
243,1543,12.0
244,1549,6.0
245,1553,4.0
246,1559,6.0
247,1567,8.0
248,1571,4.0
249,1579,8.0
250,1583,4.0
251,1597,14.0
252,1601,4.0
253,1607,6.0
254,1609,2.0
255,1613,4.0
256,1619,6.0
257,1621,2.0
258,1627,6.0
259,1637,10.0
260,1657,20.0
261,1663,6.0
262,1667,4.0
263,1669,2.0
264,1693,24.0
265,1697,4.0
266,1699,2.0
267,1709,10.0
268,1721,12.0
269,1723,2.0
270,1733,10.0
271,1741,8.0
272,1747,6.0
273,1753,6.0
274,1759,6.0
275,1777,18.0
276,1783,6.0
277,1787,4.0
278,1789,2.0
279,1801,12.0
280,1811,10.0
281,1823,12.0
282,1831,8.0
283,1847,16.0
284,1861,14.0
285,1867,6.0
286,1871,4.0
287,1873,2.0
288,1877,4.0
289,1879,2.0
290,1889,10.0
291,1901,12.0
292,1907,6.0
293,1913,6.0
294,1931,18.0
295,1933,2.0
296,1949,16.0
297,1951,2.0
298,1973,22.0
299,1979,6.0
300,1987,8.0
301,1993,6.0
302,1997,4.0
303,1999,2.0
304,2003,4.0
305,2011,8.0
306,2017,6.0
307,2027,10.0
308,2029,2.0
309,2039,10.0
310,2053,14.0
311,2063,10.0
312,2069,6.0
313,2081,12.0
314,2083,2.0
315,2087,4.0
316,2089,2.0
317,2099,10.0
318,2111,12.0
319,2113,2.0
320,2129,16.0
321,2131,2.0
322,2137,6.0
323,2141,4.0
324,2143,2.0
325,2153,10.0
326,2161,8.0
327,2179,18.0
328,2203,24.0
329,2207,4.0
330,2213,6.0
331,2221,8.0
332,2237,16.0
333,2239,2.0
334,2243,4.0
335,2251,8.0
336,2267,16.0
337,2269,2.0
338,2273,4.0
339,2281,8.0
340,2287,6.0
341,2293,6.0
342,2297,4.0
343,2309,12.0
344,2311,2.0
345,2333,22.0
346,2339,6.0
347,2341,2.0
348,2347,6.0
349,2351,4.0
350,2357,6.0
351,2371,14.0
352,2377,6.0
353,2381,4.0
354,2383,2.0
355,2389,6.0
356,2393,4.0
357,2399,6.0
358,2411,12.0
359,2417,6.0
360,2423,6.0
361,2437,14.0
362,2441,4.0
363,2447,6.0
364,2459,12.0
365,2467,8.0
366,2473,6.0
367,2477,4.0
368,2503,26.0
369,2521,18.0
370,2531,10.0
371,2539,8.0
372,2543,4.0
373,2549,6.0
374,2551,2.0
375,2557,6.0
376,2579,22.0
377,2591,12.0
378,2593,2.0
379,2609,16.0
380,2617,8.0
381,2621,4.0
382,2633,12.0
383,2647,14.0
384,2657,10.0
385,2659,2.0
386,2663,4.0
387,2671,8.0
388,2677,6.0
389,2683,6.0
390,2687,4.0
391,2689,2.0
392,2693,4.0
393,2699,6.0
394,2707,8.0
395,2711,4.0
396,2713,2.0
397,2719,6.0
398,2729,10.0
399,2731,2.0
400,2741,10.0
401,2749,8.0
402,2753,4.0
403,2767,14.0
404,2777,10.0
405,2789,12.0
406,2791,2.0
407,2797,6.0
408,2801,4.0
409,2803,2.0
410,2819,16.0
411,2833,14.0
412,2837,4.0
413,2843,6.0
414,2851,8.0
415,2857,6.0
416,2861,4.0
417,2879,18.0
418,2887,8.0
419,2897,10.0
420,2903,6.0
421,2909,6.0
422,2917,8.0
423,2927,10.0
424,2939,12.0
425,2953,14.0
426,2957,4.0
427,2963,6.0
428,2969,6.0
429,2971,2.0
430,2999,28.0
431,3001,2.0
432,3011,10.0
433,3019,8.0
434,3023,4.0
435,3037,14.0
436,3041,4.0
437,3049,8.0
438,3061,12.0
439,3067,6.0
440,3079,12.0
441,3083,4.0
442,3089,6.0
443,3109,20.0
444,3119,10.0
445,3121,2.0
446,3137,16.0
447,3163,26.0
448,3167,4.0
449,3169,2.0
450,3181,12.0
451,3187,6.0
452,3191,4.0
453,3203,12.0
454,3209,6.0
455,3217,8.0
456,3221,4.0
457,3229,8.0
458,3251,22.0
459,3253,2.0
460,3257,4.0
461,3259,2.0
462,3271,12.0
463,3299,28.0
464,3301,2.0
465,3307,6.0
466,3313,6.0
467,3319,6.0
468,3323,4.0
469,3329,6.0
470,3331,2.0
471,3343,12.0
472,3347,4.0
473,3359,12.0
474,3361,2.0
475,3371,10.0
476,3373,2.0
477,3389,16.0
478,3391,2.0
479,3407,16.0
480,3413,6.0
481,3433,20.0
482,3449,16.0
483,3457,8.0
484,3461,4.0
485,3463,2.0
486,3467,4.0
487,3469,2.0
488,3491,22.0
489,3499,8.0
490,3511,12.0
491,3517,6.0
492,3527,10.0
493,3529,2.0
494,3533,4.0
495,3539,6.0
496,3541,2.0
497,3547,6.0
498,3557,10.0
499,3559,2.0
500,3571,12.0
501,3581,10.0
502,3583,2.0
503,3593,10.0
504,3607,14.0
505,3613,6.0
506,3617,4.0
507,3623,6.0
508,3631,8.0
509,3637,6.0
510,3643,6.0
511,3659,16.0
512,3671,12.0
513,3673,2.0
514,3677,4.0
515,3691,14.0
516,3697,6.0
517,3701,4.0
518,3709,8.0
519,3719,10.0
520,3727,8.0
521,3733,6.0
522,3739,6.0
523,3761,22.0
524,3767,6.0
525,3769,2.0
526,3779,10.0
527,3793,14.0
528,3797,4.0
529,3803,6.0
530,3821,18.0
531,3823,2.0
532,3833,10.0
533,3847,14.0
534,3851,4.0
535,3853,2.0
536,3863,10.0
537,3877,14.0
538,3881,4.0
539,3889,8.0
540,3907,18.0
541,3911,4.0
542,3917,6.0
543,3919,2.0
544,3923,4.0
545,3929,6.0
546,3931,2.0
547,3943,12.0
548,3947,4.0
549,3967,20.0
550,3989,22.0
551,4001,12.0
552,4003,2.0
553,4007,4.0
554,4013,6.0
555,4019,6.0
556,4021,2.0
557,4027,6.0
558,4049,22.0
559,4051,2.0
560,4057,6.0
561,4073,16.0
562,4079,6.0
563,4091,12.0
564,4093,2.0
565,4099,6.0
566,4111,12.0
567,4127,16.0
568,4129,2.0
569,4133,4.0
570,4139,6.0
571,4153,14.0
572,4157,4.0
573,4159,2.0
574,4177,18.0
575,4201,24.0
576,4211,10.0
577,4217,6.0
578,4219,2.0
579,4229,10.0
580,4231,2.0
581,4241,10.0
582,4243,2.0
583,4253,10.0
584,4259,6.0
585,4261,2.0
586,4271,10.0
587,4273,2.0
588,4283,10.0
589,4289,6.0
590,4297,8.0
591,4327,30.0
592,4337,10.0
593,4339,2.0
594,4349,10.0
595,4357,8.0
596,4363,6.0
597,4373,10.0
598,4391,18.0
599,4397,6.0
600,4409,12.0
601,4421,12.0
602,4423,2.0
603,4441,18.0
604,4447,6.0
605,4451,4.0
606,4457,6.0
607,4463,6.0
608,4481,18.0
609,4483,2.0
610,4493,10.0
611,4507,14.0
612,4513,6.0
613,4517,4.0
614,4519,2.0
615,4523,4.0
616,4547,24.0
617,4549,2.0
618,4561,12.0
619,4567,6.0
620,4583,16.0
621,4591,8.0
622,4597,6.0
623,4603,6.0
624,4621,18.0
625,4637,16.0
626,4639,2.0
627,4643,4.0
628,4649,6.0
629,4651,2.0
630,4657,6.0
631,4663,6.0
632,4673,10.0
633,4679,6.0
634,4691,12.0
635,4703,12.0
636,4721,18.0
637,4723,2.0
638,4729,6.0
639,4733,4.0
640,4751,18.0
641,4759,8.0
642,4783,24.0
643,4787,4.0
644,4789,2.0
645,4793,4.0
646,4799,6.0
647,4801,2.0
648,4813,12.0
649,4817,4.0
650,4831,14.0
651,4861,30.0
652,4871,10.0
653,4877,6.0
654,4889,12.0
655,4903,14.0
656,4909,6.0
657,4919,10.0
658,4931,12.0
659,4933,2.0
660,4937,4.0
661,4943,6.0
662,4951,8.0
663,4957,6.0
664,4967,10.0
665,4969,2.0
666,4973,4.0
667,4987,14.0
668,4993,6.0
669,4999,6.0
670,5003,4.0
671,5009,6.0
672,5011,2.0
673,5021,10.0
674,5023,2.0
675,5039,16.0
676,5051,12.0
677,5059,8.0
678,5077,18.0
679,5081,4.0
680,5087,6.0
681,5099,12.0
682,5101,2.0
683,5107,6.0
684,5113,6.0
685,5119,6.0
686,5147,28.0
687,5153,6.0
688,5167,14.0
689,5171,4.0
690,5179,8.0
691,5189,10.0
692,5197,8.0
693,5209,12.0
694,5227,18.0
695,5231,4.0
696,5233,2.0
697,5237,4.0
698,5261,24.0
699,5273,12.0
700,5279,6.0
701,5281,2.0
702,5297,16.0
703,5303,6.0
704,5309,6.0
705,5323,14.0
706,5333,10.0
707,5347,14.0
708,5351,4.0
709,5381,30.0
710,5387,6.0
711,5393,6.0
712,5399,6.0
713,5407,8.0
714,5413,6.0
715,5417,4.0
716,5419,2.0
717,5431,12.0
718,5437,6.0
719,5441,4.0
720,5443,2.0
721,5449,6.0
722,5471,22.0
723,5477,6.0
724,5479,2.0
725,5483,4.0
726,5501,18.0
727,5503,2.0
728,5507,4.0
729,5519,12.0
730,5521,2.0
731,5527,6.0
732,5531,4.0
733,5557,26.0
734,5563,6.0
735,5569,6.0
736,5573,4.0
737,5581,8.0
738,5591,10.0
739,5623,32.0
740,5639,16.0
741,5641,2.0
742,5647,6.0
743,5651,4.0
744,5653,2.0
745,5657,4.0
746,5659,2.0
747,5669,10.0
748,5683,14.0
749,5689,6.0
750,5693,4.0
751,5701,8.0
752,5711,10.0
753,5717,6.0
754,5737,20.0
755,5741,4.0
756,5743,2.0
757,5749,6.0
758,5779,30.0
759,5783,4.0
760,5791,8.0
761,5801,10.0
762,5807,6.0
763,5813,6.0
764,5821,8.0
765,5827,6.0
766,5839,12.0
767,5843,4.0
768,5849,6.0
769,5851,2.0
770,5857,6.0
771,5861,4.0
772,5867,6.0
773,5869,2.0
774,5879,10.0
775,5881,2.0
776,5897,16.0
777,5903,6.0
778,5923,20.0
779,5927,4.0
780,5939,12.0
781,5953,14.0
782,5981,28.0
783,5987,6.0
784,6007,20.0
785,6011,4.0
786,6029,18.0
787,6037,8.0
788,6043,6.0
789,6047,4.0
790,6053,6.0
791,6067,14.0
792,6073,6.0
793,6079,6.0
794,6089,10.0
795,6091,2.0
796,6101,10.0
797,6113,12.0
798,6121,8.0
799,6131,10.0
800,6133,2.0
801,6143,10.0
802,6151,8.0
803,6163,12.0
804,6173,10.0
805,6197,24.0
806,6199,2.0
807,6203,4.0
808,6211,8.0
809,6217,6.0
810,6221,4.0
811,6229,8.0
812,6247,18.0
813,6257,10.0
814,6263,6.0
815,6269,6.0
816,6271,2.0
817,6277,6.0
818,6287,10.0
819,6299,12.0
820,6301,2.0
821,6311,10.0
822,6317,6.0
823,6323,6.0
824,6329,6.0
825,6337,8.0
826,6343,6.0
827,6353,10.0
828,6359,6.0
829,6361,2.0
830,6367,6.0
831,6373,6.0
832,6379,6.0
833,6389,10.0
834,6397,8.0
835,6421,24.0
836,6427,6.0
837,6449,22.0
838,6451,2.0
839,6469,18.0
840,6473,4.0
841,6481,8.0
842,6491,10.0
843,6521,30.0
844,6529,8.0
845,6547,18.0
846,6551,4.0
847,6553,2.0
848,6563,10.0
849,6569,6.0
850,6571,2.0
851,6577,6.0
852,6581,4.0
853,6599,18.0
854,6607,8.0
855,6619,12.0
856,6637,18.0
857,6653,16.0
858,6659,6.0
859,6661,2.0
860,6673,12.0
861,6679,6.0
862,6689,10.0
863,6691,2.0
864,6701,10.0
865,6703,2.0
866,6709,6.0
867,6719,10.0
868,6733,14.0
869,6737,4.0
870,6761,24.0
871,6763,2.0
872,6779,16.0
873,6781,2.0
874,6791,10.0
875,6793,2.0
876,6803,10.0
877,6823,20.0
878,6827,4.0
879,6829,2.0
880,6833,4.0
881,6841,8.0
882,6857,16.0
883,6863,6.0
884,6869,6.0
885,6871,2.0
886,6883,12.0
887,6899,16.0
888,6907,8.0
889,6911,4.0
890,6917,6.0
891,6947,30.0
892,6949,2.0
893,6959,10.0
894,6961,2.0
895,6967,6.0
896,6971,4.0
897,6977,6.0
898,6983,6.0
899,6991,8.0
900,6997,6.0
901,7001,4.0
902,7013,12.0
903,7019,6.0
904,7027,8.0
905,7039,12.0
906,7043,4.0
907,7057,14.0
908,7069,12.0
909,7079,10.0
910,7103,24.0
911,7109,6.0
912,7121,12.0
913,7127,6.0
914,7129,2.0
915,7151,22.0
916,7159,8.0
917,7177,18.0
918,7187,10.0
919,7193,6.0
920,7207,14.0
921,7211,4.0
922,7213,2.0
923,7219,6.0
924,7229,10.0
925,7237,8.0
926,7243,6.0
927,7247,4.0
928,7253,6.0
929,7283,30.0
930,7297,14.0
931,7307,10.0
932,7309,2.0
933,7321,12.0
934,7331,10.0
935,7333,2.0
936,7349,16.0
937,7351,2.0
938,7369,18.0
939,7393,24.0
940,7411,18.0
941,7417,6.0
942,7433,16.0
943,7451,18.0
944,7457,6.0
945,7459,2.0
946,7477,18.0
947,7481,4.0
948,7487,6.0
949,7489,2.0
950,7499,10.0
951,7507,8.0
952,7517,10.0
953,7523,6.0
954,7529,6.0
955,7537,8.0
956,7541,4.0
957,7547,6.0
958,7549,2.0
959,7559,10.0
960,7561,2.0
961,7573,12.0
962,7577,4.0
963,7583,6.0
964,7589,6.0
965,7591,2.0
966,7603,12.0
967,7607,4.0
968,7621,14.0
969,7639,18.0
970,7643,4.0
971,7649,6.0
972,7669,20.0
973,7673,4.0
974,7681,8.0
975,7687,6.0
976,7691,4.0
977,7699,8.0
978,7703,4.0
979,7717,14.0
980,7723,6.0
981,7727,4.0
982,7741,14.0
983,7753,12.0
984,7757,4.0
985,7759,2.0
986,7789,30.0
987,7793,4.0
988,7817,24.0
989,7823,6.0
990,7829,6.0
991,7841,12.0
992,7853,12.0
993,7867,14.0
994,7873,6.0
995,7877,4.0
996,7879,2.0
997,7883,4.0
998,7901,18.0
999,7907,6.0
1000,7919,12.0
